value,code
"1,863",AK
"6,046",AL
"2,762",AR
"13,711",AZ
"123,480",CA
"15,482",CO
"4,316",CT
"6,539",DC
982,DE
"57,551",FL
"19,836",GA
"1,635",GU
"5,834",HI
"3,014",IA
"2,346",ID
"14,395",IL
"6,452",IN
"2,024",KS
"6,623",KY
"12,482",LA
"16,646",MA
"10,845",MD
"2,379",ME
"13,058",MI
"7,869",MN
"8,122",MO
"2,743",MS
"1,615",MT
"12,191",NC
799,ND
"3,877",NE
"1,574",NH
"13,737",NJ
"3,475",NM
"14,594",NV
"65,606",NY
"12,569",OH
"5,229",OK
"19,492",OR
"14,516",PA
"4,149",PR
"1,282",RI
"4,473",SC
731,SD
"10,276",TN
"35,121",TX
"3,284",UT
"9,080",VA
487,VI
"1,220",VT
"22,878",WA
"6,333",WI
"2,264",WV
579,WY
"640,466",Total
,
