value,code
"1,642",AK
"5,452",AL
"3,836",AR
"14,646",AZ
"138,986",CA
"14,225",CO
"4,482",CT
"5,320",DC
"1,061",DE
"48,069",FL
"19,639",GA
725,GU
"6,070",HI
"2,734",IA
"1,749",ID
"15,487",IL
"7,358",IN
"2,111",KS
"8,061",KY
"5,494",LA
"15,127",MA
"9,628",MD
"2,638",ME
"28,295",MI
"7,323",MN
"6,247",MO
"1,377",MS
"1,150",MT
"11,802",NC
636,ND
"3,531",NE
"2,248",NH
"17,314",NJ
"3,015",NM
"12,526",NV
"62,601",NY
"11,264",OH
"4,221",OK
"17,590",OR
"16,220",PA
"4,309",PR
"1,372",RI
"5,660",SC
579,SD
"11,210",TN
"39,788",TX
"3,011",UT
"9,746",VA
559,VI
"1,035",VT
"23,379",WA
"5,648",WI
"2,409",WV
537,WY
"651,142",Total
,
