value,code
4.7,AL
3.5,AK
4.9,AZ
6.8,AR
5.3,CA
3.9,CO
3,CT
4.9,DE
4.2,DC
5.1,FL
4.9,GA
4.4,HI
6.3,ID
4.8,IL
3.7,IN
4.3,IA
4.8,KS
6.3,KY
5.9,LA
3.6,ME
2.9,MD
3.8,MA
4.6,MI
3.8,MN
6.2,MS
3.8,MO
5.8,MT
4,NE
4.9,NV
2.9,NH
3.9,NJ
5.6,NM
5,NY
5.2,NC
3.2,ND
4.1,OH
4.3,OK
4.8,OR
4,PA
4.3,RI
5.3,SC
4.4,SD
5.4,TN
5.6,TX
4.1,UT
3.6,VT
3.7,VA
4.7,WA
5.4,WV
3.6,WI
4.3,WY
