value,code
61.2,AK
65,AL
66.7,AR
62.6,AZ
66.4,CA
71.5,CO
64.8,CT
62.4,DE
67.8,DC
64.2,FL
61.3,GA
56.1,HI
69.4,IA
65.6,ID
61.5,IL
69,IN
69.1,KS
60.3,KY
63.7,LA
67.1,MA
61.1,MD
65.5,ME
61.3,MI
70.8,MN
63,MO
66,MS
69.3,MT
69.6,NC
63.8,ND
67.5,NE
62.8,NH
68,NJ
61.6,NM
67.6,NV
68.2,NY
62.1,OH
64.3,OK
68.3,OR
62.5,PA
63.3,RI
61.5,SC
71.6,SD
62.9,TN
67,TX
69.2,UT
69,VA
64,VT
68.2,WA
61.6,WI
67.8,WV
68.7,WY
