value,code
"1,992",AK
"6,080",AL
"2,852",AR
"14,721",AZ
"123,678",CA
"15,268",CO
"4,605",CT
"6,228",DC
"1,130",DE
"55,599",FL
"20,360",GA
"1,088",GU
"5,782",HI
"3,380",IA
"1,939",ID
"14,055",IL
"6,984",IN
"1,892",KS
"5,999",KY
"12,504",LA
"15,482",MA
"11,698",MD
"2,444",ME
"14,005",MI
"7,718",MN
"6,959",MO
"2,797",MS
"1,196",MT
"12,918",NC
773,ND
"3,718",NE
"1,645",NH
"13,169",NJ
"3,475",NM
"14,478",NV
"61,067",NY
"12,700",OH
"4,838",OK
"17,309",OR
"15,096",PA
"4,070",PR
"1,607",RI
"4,473",SC
731,SD
"10,532",TN
"36,761",TX
"3,795",UT
"8,852",VA
471,VI
"1,214",VT
"22,782",WA
"6,525",WI
"1,667",WV
515,WY
"633,616",Total
,
