value,code
"2,128",AK
"5,558",AL
"3,424",AR
"10,504",AZ
"125,128",CA
"15,116",CO
"4,456",CT
"6,546",DC
"1,035",DE
"56,687",FL
"20,975",GA
"1,745",GU
"6,188",HI
"3,134",IA
"2,199",ID
"14,009",IL
"6,196",IN
"2,511",KS
"6,034",KY
"9,291",LA
"16,664",MA
"10,208",MD
"2,447",ME
"13,185",MI
"7,495",MN
"8,989",MO
"2,306",MS
"1,768",MT
"12,896",NC
603,ND
"3,548",NE
"1,469",NH
"14,137",NJ
"3,601",NM
"10,579",NV
"63,445",NY
"13,030",OH
"4,625",OK
"17,254",OR
"15,096",PA
"2,900",PR
"1,070",RI
"5,093",SC
826,SD
"9,113",TN
"36,911",TX
"3,130",UT
"8,816",VA
532,VI
"1,144",VT
"20,439",WA
"5,785",WI
"2,211",WV
"1,038",WY
"625,217",Total
,
