value,code
"1,946",AK
"4,689",AL
"3,812",AR
"10,562",AZ
"118,552",CA
"9,754",CO
"4,448",CT
"6,865",DC
946,DE
"47,862",FL
"16,971",GA
"1,271",GU
"6,335",HI
"3,084",IA
"1,781",ID
"13,425",IL
"6,096",IN
"2,693",KS
"5,245",KY
"5,226",LA
"19,029",MA
"8,205",MD
"3,016",ME
"11,527",MI
"8,214",MN
"8,581",MO
"2,403",MS
"1,878",MT
"12,168",NC
"2,069",ND
"3,145",NE
"1,447",NH
"12,002",NJ
"2,819",NM
"8,443",NV
"77,430",NY
"12,325",OH
"4,408",OK
"13,822",OR
"15,086",PA
"4,128",PR
"1,384",RI
"6,544",SC
"1,094",SD
"9,528",TN
"29,615",TX
"3,277",UT
"7,625",VA
482,VI
"1,454",VT
"17,760",WA
"6,104",WI
"2,240",WV
953,WY
"591,768",Total
,
